Allele_1,WT_Background,Replicate,Temperature,Individuals,SQ_Measure,TotalArea.px
sd[58d],DGRP229,R1,24,19,19,41543
sd[58d],DGRP239,R1,24,1,18,48510
sd[58d],DGRP239,R1,24,2,19,38268
sd[58d],DGRP239,R1,24,3,19,42461
sd[58d],DGRP239,R1,24,4,19,41945
sd[58d],DGRP239,R1,24,5,18,46441
sd[58d],DGRP239,R1,24,6,18,50122
sd[58d],DGRP315,R1,24,1,18,42054
sd[58d],DGRP315,R1,24,2,19,30489
sd[58d],DGRP315,R1,24,3,19,38817
sd[58d],DGRP315,R1,24,4,18,43655
sd[58d],DGRP315,R1,24,5,19,41255
sd[58d],DGRP315,R1,24,6,19,46136
sd[58d],DGRP315,R1,24,7,19,41406
sd[58d],DGRP315,R1,24,9,19,32827
sd[58d],DGRP315,R1,24,10,19,31717
sd[58d],DGRP315,R1,24,11,20,31256
sd[58d],DGRP315,R1,24,12,18,49483
sd[58d],DGRP315,R1,24,15,19,30826
sd[58d],DGRP315,R1,24,17,19,39990
sd[58d],DGRP315,R1,24,18,18,41540
sd[58d],DGRP315,R1,24,20,18,46958
sd[58d],DGRP319,R1,24,1,19,34031
sd[58d],DGRP319,R1,24,2,19,41507
sd[58d],DGRP319,R1,24,3,19,38684
sd[58d],DGRP319,R1,24,4,20,24941
sd[58d],DGRP319,R1,24,5,19,42965
sd[58d],DGRP319,R1,24,6,19,35334
sd[58d],DGRP319,R1,24,7,20,38709
sd[58d],DGRP319,R1,24,8,20,33148
sd[58d],DGRP319,R1,24,10,19,38419
sd[58d],DGRP391,R1,24,1,19,30466
sd[58d],DGRP391,R1,24,2,20,30612
sd[58d],DGRP391,R1,24,3,19,30524
sd[58d],DGRP391,R1,24,4,19,36776
sd[58d],DGRP391,R1,24,5,20,27759
sd[58d],DGRP391,R1,24,6,19,34455
sd[58d],DGRP391,R1,24,7,19,27429
sd[58d],DGRP391,R1,24,8,19,31727
sd[58d],DGRP391,R1,24,9,20,30639
sd[58d],DGRP391,R1,24,10,19,29125
sd[58d],DGRP391,R1,24,11,19,34727
sd[58d],DGRP391,R1,24,12,20,28705
sd[58d],DGRP391,R1,24,13,20,26260
sd[58d],DGRP391,R1,24,14,20,24463
sd[58d],DGRP391,R1,24,15,19,37015
sd[58d],DGRP391,R1,24,16,19,35794
sd[58d],DGRP391,R1,24,17,20,25455
sd[58d],DGRP391,R1,24,18,19,25833
sd[58d],DGRP391,R1,24,19,20,25665
sd[58d],DGRP391,R1,24,20,19,31289
sd[58d],DGRP443,R1,24,1,18,45594
sd[58d],DGRP443,R1,24,2,19,39427
sd[58d],DGRP443,R1,24,3,18,43773
sd[58d],DGRP492,R1,24,1,18,58564
sd[58d],DGRP492,R1,24,2,19,42205
sd[58d],DGRP492,R1,24,3,19,41381
sd[58d],DGRP492,R1,24,4,19,43566
sd[58d],DGRP492,R1,24,5,19,41183
sd[58d],DGRP492,R1,24,6,18,57453
sd[58d],DGRP492,R1,24,8,19,48726
sd[58d],DGRP492,R1,24,9,18,71342
sd[58d],DGRP492,R1,24,10,19,37521
sd[58d],DGRP492,R1,24,11,19,38408
sd[58d],DGRP492,R1,24,14,19,42547
sd[58d],DGRP757,R1,24,1,18,42315
sd[58d],DGRP757,R1,24,2,18,50154
sd[58d],DGRP757,R1,24,3,18,44593
sd[58d],DGRP757,R1,24,4,18,41326
sd[58d],DGRP757,R1,24,5,19,36691
sd[58d],DGRP083,R1,24,4,18,36562
sd[58d],DGRP083,R1,24,7,19,43690
sd[58d],DGRP229,R1,24,17,19,37523
sd[58d],DGRP315,R1,24,8,19,34277
sd[ETX4],DGRP229,R1,24,1,7,227732
sd[ETX4],DGRP229,R1,24,2,12,163690
sd[ETX4],DGRP229,R1,24,3,12,143497
sd[ETX4],DGRP229,R1,24,4,6,304234
sd[ETX4],DGRP229,R1,24,5,9,198151
sd[ETX4],DGRP229,R1,24,6,10,221466
sd[ETX4],DGRP229,R1,24,7,10,214558
sd[ETX4],DGRP229,R1,24,8,9,246115
sd[ETX4],DGRP229,R1,24,9,9,220105
sd[ETX4],DGRP229,R1,24,10,9,274760
sd[ETX4],DGRP229,R1,24,11,8,277980
sd[ETX4],DGRP239,R1,24,1,8,214064
sd[ETX4],DGRP239,R1,24,2,8,188077
sd[ETX4],DGRP239,R1,24,3,8,202980
sd[ETX4],DGRP239,R1,24,4,7,223189
sd[ETX4],DGRP239,R1,24,5,9,169651
sd[ETX4],DGRP239,R1,24,6,8,222426
sd[ETX4],DGRP239,R1,24,7,6,269877
sd[ETX4],DGRP239,R1,24,8,7,196929
sd[ETX4],DGRP239,R1,24,10,9,203498
sd[ETX4],DGRP239,R1,24,11,7,265882
sd[ETX4],DGRP239,R1,24,12,8,185123
sd[ETX4],DGRP301,R1,24,1,13,90995
sd[ETX4],DGRP301,R1,24,2,10,156989
sd[ETX4],DGRP301,R1,24,3,13,115038
sd[ETX4],DGRP301,R1,24,4,17,68854
sd[ETX4],DGRP301,R1,24,5,16,122639
sd[ETX4],DGRP301,R1,24,6,18,50861
sd[ETX4],DGRP301,R1,24,7,12,130226
sd[ETX4],DGRP301,R1,24,9,17,92409
sd[ETX4],DGRP301,R1,24,10,18,59134
sd[ETX4],DGRP301,R1,24,11,10,171754
sd[ETX4],DGRP301,R1,24,12,17,108024
sd[ETX4],DGRP301,R1,24,13,10,169042
sd[ETX4],DGRP301,R1,24,14,12,128553
sd[ETX4],DGRP315,R1,24,1,9,222795
sd[ETX4],DGRP315,R1,24,2,7,305080
sd[ETX4],DGRP315,R1,24,4,7,291659
sd[ETX4],DGRP315,R1,24,5,8,274570
sd[ETX4],DGRP315,R1,24,6,7,310829
sd[ETX4],DGRP315,R1,24,7,10,248666
sd[ETX4],DGRP315,R1,24,8,8,261275
sd[ETX4],DGRP319,R1,24,1,17,92954
sd[ETX4],DGRP319,R1,24,2,18,70040
sd[ETX4],DGRP319,R1,24,4,17,115569
sd[ETX4],DGRP319,R1,24,5,17,94387
sd[ETX4],DGRP319,R1,24,6,16,123541
sd[ETX4],DGRP319,R1,24,7,18,49254
sd[ETX4],DGRP319,R1,24,8,13,119514
sd[ETX4],DGRP319,R1,24,10,18,76970
sd[ETX4],DGRP319,R1,24,13,18,71013
sd[ETX4],DGRP319,R1,24,14,17,109771
sd[ETX4],DGRP319,R1,24,15,13,149067
sd[ETX4],DGRP319,R1,24,18,17,117692
sd[ETX4],DGRP319,R1,24,19,17,110928
sd[ETX4],DGRP319,R1,24,20,13,125682
sd[ETX4],DGRP371,R1,24,1,7,303447
sd[ETX4],DGRP371,R1,24,2,8,303252
sd[ETX4],DGRP371,R1,24,3,7,279367
sd[ETX4],DGRP371,R1,24,4,7,300245
sd[ETX4],DGRP371,R1,24,5,7,295999
sd[ETX4],DGRP371,R1,24,6,6,308122
sd[ETX4],DGRP371,R1,24,8,6,322740
sd[ETX4],DGRP385,R1,24,1,11,255750
sd[ETX4],DGRP385,R1,24,2,8,235554
sd[ETX4],DGRP385,R1,24,4,7,223670
sd[ETX4],DGRP385,R1,24,6,8,249292
sd[ETX4],DGRP028,R1,24,1,6,259714
sd[ETX4],DGRP028,R1,24,2,7,272197
sd[ETX4],DGRP028,R1,24,3,9,221967
sd[ETX4],DGRP028,R1,24,4,7,276551
sd[ETX4],DGRP028,R1,24,5,8,279715
sd[ETX4],DGRP028,R1,24,6,8,276283
sd[ETX4],DGRP028,R1,24,7,8,276361
sd[ETX4],DGRP028,R1,24,8,9,223974
sd[ETX4],DGRP028,R1,24,9,7,284310
sd[ETX4],DGRP028,R1,24,10,7,280397
sd[ETX4],DGRP028,R1,24,11,15,180361
sd[ETX4],DGRP028,R1,24,12,7,274491
sd[ETX4],DGRP028,R1,24,13,7,305198
sd[ETX4],DGRP028,R1,24,14,8,276634
sd[ETX4],DGRP028,R1,24,15,8,238846
sd[ETX4],DGRP028,R1,24,16,7,296537
sd[ETX4],DGRP028,R1,24,17,7,285450
sd[ETX4],DGRP028,R1,24,18,8,268747
sd[ETX4],DGRP028,R1,24,19,7,269733
sd[ETX4],DGRP028,R1,24,20,9,210501
sd[ETX4],DGRP028,R1,24,21,7,299637
sd[ETX4],DGRP048,R1,24,1,9,224791
sd[ETX4],DGRP048,R1,24,2,9,226545
sd[ETX4],DGRP048,R1,24,3,10,194414
sd[ETX4],DGRP048,R1,24,4,7,250570
sd[ETX4],DGRP048,R1,24,5,8,257111
sd[ETX4],DGRP048,R1,24,6,8,230197
sd[ETX4],DGRP048,R1,24,7,12,146588
sd[ETX4],DGRP048,R1,24,8,9,208190
sd[ETX4],DGRP048,R1,24,9,9,223236
sd[ETX4],DGRP048,R1,24,10,10,163316
sd[ETX4],DGRP048,R1,24,11,8,265031
sd[ETX4],DGRP048,R1,24,12,10,193313
sd[ETX4],DGRP048,R1,24,13,9,220511
sd[ETX4],DGRP048,R1,24,14,8,247929
sd[ETX4],DGRP075,R1,24,1,8,245060
sd[ETX4],DGRP075,R1,24,2,9,201839
sd[ETX4],DGRP075,R1,24,3,10,206424
sd[ETX4],DGRP075,R1,24,4,8,243090
sd[ETX4],DGRP075,R1,24,5,9,201576
sd[ETX4],DGRP075,R1,24,6,9,224457
sd[ETX4],DGRP075,R1,24,7,7,241898
sd[ETX4],DGRP075,R1,24,8,8,245282
sd[ETX4],DGRP075,R1,24,9,9,192182
sd[ETX4],DGRP075,R1,24,10,8,228554
sd[ETX4],DGRP075,R1,24,11,8,243897
sd[ETX4],DGRP075,R1,24,12,8,218529
sd[ETX4],DGRP075,R1,24,13,7,255889
sd[ETX4],DGRP075,R1,24,14,10,201763
sd[ETX4],DGRP075,R1,24,15,8,224530
sd[ETX4],DGRP075,R1,24,16,9,226474
sd[ETX4],DGRP083,R1,24,1,8,277712
sd[ETX4],DGRP083,R1,24,2,6,275833
sd[ETX4],DGRP083,R1,24,3,11,244917
sd[ETX4],DGRP083,R1,24,4,8,270047
sd[ETX4],DGRP083,R1,24,5,15,183054
sd[ETX4],DGRP083,R1,24,6,11,244695
sd[ETX4],DGRP083,R1,24,8,7,249870
sd[ETX4],DGRP083,R1,24,10,7,281606
sd[ETX4],DGRP083,R1,24,11,7,239135
sd[ETX4],DGRP083,R1,24,12,8,253323
sd[ETX4],DGRP083,R1,24,14,8,250060
sd[ETX4],DGRP391,R1,24,2,16,118865
sd[ETX4],DGRP391,R1,24,3,17,118954
sd[ETX4],DGRP391,R1,24,4,17,81980
sd[ETX4],DGRP391,R1,24,5,16,126360
sd[ETX4],DGRP391,R1,24,6,12,186400
sd[ETX4],DGRP391,R1,24,7,12,166377
sd[ETX4],DGRP391,R1,24,8,13,115871
sd[ETX4],DGRP443,R1,24,2,17,102718
sd[ETX4],DGRP443,R1,24,4,12,169628
sd[ETX4],DGRP443,R1,24,5,12,172059
sd[ETX4],DGRP443,R1,24,6,12,180522
sd[ETX4],DGRP443,R1,24,7,10,197107
sd[ETX4],DGRP443,R1,24,8,13,144554
sd[ETX4],DGRP443,R1,24,9,9,200875
sd[ETX4],DGRP443,R1,24,10,13,155803
sd[ETX4],DGRP443,R1,24,11,12,176954
sd[ETX4],DGRP443,R1,24,12,12,170449
sd[ETX4],DGRP443,R1,24,13,11,190736
sd[ETX4],DGRP443,R1,24,14,10,190683
sd[ETX4],DGRP491,R1,24,1,10,220458
sd[ETX4],DGRP491,R1,24,2,9,238984
sd[ETX4],DGRP491,R1,24,3,10,241500
sd[ETX4],DGRP491,R1,24,4,10,225203
sd[ETX4],DGRP491,R1,24,5,13,150524
sd[ETX4],DGRP491,R1,24,6,17,89509
sd[ETX4],DGRP491,R1,24,7,10,224453
sd[ETX4],DGRP491,R1,24,8,10,233643
sd[ETX4],DGRP491,R1,24,9,12,194308
sd[ETX4],DGRP491,R1,24,10,10,193582
sd[ETX4],DGRP491,R1,24,11,10,230448
sd[ETX4],DGRP491,R1,24,12,10,221181
sd[ETX4],DGRP491,R1,24,13,10,242887
sd[ETX4],DGRP491,R1,24,14,10,222787
sd[ETX4],DGRP491,R1,24,15,10,219767
sd[ETX4],DGRP492,R1,24,1,12,168482
sd[ETX4],DGRP492,R1,24,2,12,141641
sd[ETX4],DGRP492,R1,24,3,12,143772
sd[ETX4],DGRP492,R1,24,4,10,184447
sd[ETX4],DGRP492,R1,24,5,13,85116
sd[ETX4],DGRP492,R1,24,6,13,120109
sd[ETX4],DGRP492,R1,24,7,12,146164
sd[ETX4],DGRP492,R1,24,8,12,142726
sd[ETX4],DGRP492,R1,24,10,12,140683
sd[ETX4],DGRP492,R1,24,11,13,118523
sd[ETX4],DGRP492,R1,24,12,16,129714
sd[ETX4],DGRP492,R1,24,13,10,196142
sd[ETX4],DGRP492,R1,24,14,10,182334
sd[ETX4],DGRP492,R1,24,15,12,126540
sd[ETX4],DGRP492,R1,24,16,10,183189
sd[ETX4],DGRP492,R1,24,17,12,119385
sd[ETX4],DGRP492,R1,24,18,10,161908
sd[ETX4],DGRP492,R1,24,19,10,191744
sd[ETX4],DGRP492,R1,24,20,13,103018
sd[ETX4],DGRP517,R1,24,1,8,289682
sd[ETX4],DGRP517,R1,24,2,10,217796
sd[ETX4],DGRP517,R1,24,4,9,255909
sd[ETX4],DGRP517,R1,24,5,10,186273
sd[ETX4],DGRP517,R1,24,6,9,226660
sd[ETX4],DGRP088,R1,24,1,13,144931
sd[ETX4],DGRP088,R1,24,2,13,139145
sd[ETX4],DGRP088,R1,24,3,10,203231
sd[ETX4],DGRP088,R1,24,4,17,87724
sd[ETX4],DGRP088,R1,24,6,12,142781
sd[ETX4],DGRP088,R1,24,8,12,146467
sd[ETX4],DGRP088,R1,24,10,10,208609
sd[ETX4],DGRP088,R1,24,11,10,209778
sd[ETX4],DGRP088,R1,24,13,13,142373
sd[ETX4],DGRP088,R1,24,15,10,242837
sd[ETX4],DGRP088,R1,24,16,12,164021
sd[ETX4],DGRP088,R1,24,17,12,183654
sd[ETX4],DGRP088,R1,24,18,9,222534
sd[ETX4],DGRP088,R1,24,19,10,157905
sd[ETX4],DGRP239,R1,24,9,8,229404
sd[ETX4],DGRP301,R1,24,8,12,132060
sd[E3],DGRP028,R1,24,1,7,326224
sd[E3],DGRP028,R1,24,2,7,258248
sd[E3],DGRP028,R1,24,3,7,267926
sd[E3],DGRP028,R1,24,4,6,336347
sd[E3],DGRP028,R1,24,5,7,243852
sd[E3],DGRP028,R1,24,6,7,251778
sd[E3],DGRP028,R1,24,7,7,339263
sd[E3],DGRP028,R1,24,9,8,249332
sd[E3],DGRP028,R1,24,10,6,268111
sd[E3],DGRP028,R1,24,12,8,231944
sd[E3],DGRP028,R1,24,13,7,263556
sd[E3],DGRP028,R1,24,14,6,331154
sd[E3],DGRP028,R1,24,15,7,254477
sd[E3],DGRP028,R1,24,16,7,276518
sd[E3],DGRP028,R1,24,17,10,227974
sd[E3],DGRP028,R1,24,18,7,292200
sd[E3],DGRP028,R1,24,19,7,279980
sd[E3],DGRP028,R1,24,20,8,243026
sd[E3],DGRP048,R1,24,1,10,229831
sd[E3],DGRP048,R1,24,2,7,302751
sd[E3],DGRP048,R1,24,3,8,274452
sd[E3],DGRP048,R1,24,4,12,161743
sd[E3],DGRP048,R1,24,5,10,209293
sd[E3],DGRP048,R1,24,6,10,182695
sd[E3],DGRP048,R1,24,7,12,199324
sd[E3],DGRP048,R1,24,8,10,247245
sd[E3],DGRP048,R1,24,11,12,183145
sd[E3],DGRP075,R1,24,1,9,242699
sd[E3],DGRP075,R1,24,2,10,197707
sd[E3],DGRP075,R1,24,3,10,230784
sd[E3],DGRP075,R1,24,4,12,123568
sd[E3],DGRP075,R1,24,5,12,201616
sd[E3],DGRP075,R1,24,6,10,202935
sd[E3],DGRP075,R1,24,7,15,160493
sd[E3],DGRP075,R1,24,8,12,210291
sd[E3],DGRP075,R1,24,9,12,193685
sd[E3],DGRP075,R1,24,10,12,183000
sd[E3],DGRP075,R1,24,11,9,194887
sd[E3],DGRP083,R1,24,2,6,281998
sd[E3],DGRP083,R1,24,3,9,253405
sd[E3],DGRP083,R1,24,4,13,136956
sd[E3],DGRP083,R1,24,7,17,123459
sd[E3],DGRP083,R1,24,8,10,220086
sd[E3],DGRP088,R1,24,1,10,205268
sd[E3],DGRP088,R1,24,2,8,197742
sd[E3],DGRP088,R1,24,3,17,107734
sd[E3],DGRP088,R1,24,4,12,175657
sd[E3],DGRP088,R1,24,5,9,172423
sd[E3],DGRP088,R1,24,6,8,218343
sd[E3],DGRP088,R1,24,7,16,137563
sd[E3],DGRP088,R1,24,8,10,204189
sd[E3],DGRP088,R1,24,9,13,129139
sd[E3],DGRP088,R1,24,10,12,169712
sd[E3],DGRP088,R1,24,11,12,164703
sd[E3],DGRP088,R1,24,12,15,185599
sd[E3],DGRP088,R1,24,13,7,192827
sd[E3],DGRP088,R1,24,14,12,129490
sd[E3],DGRP088,R1,24,15,12,165918
sd[E3],DGRP088,R1,24,16,12,145307
sd[E3],DGRP088,R1,24,17,13,119687
sd[E3],DGRP088,R1,24,18,10,189623
sd[E3],DGRP088,R1,24,19,12,162479
sd[E3],DGRP088,R1,24,20,13,113682
sd[E3],DGRP088,R1,24,21,10,168791
sd[E3],DGRP229,R1,24,1,8,220525
sd[E3],DGRP229,R1,24,2,6,269351
sd[E3],DGRP229,R1,24,4,7,267438
sd[E3],DGRP229,R1,24,5,6,264075
sd[E3],DGRP229,R1,24,6,7,265853
sd[E3],DGRP229,R1,24,7,6,194973
sd[E3],DGRP229,R1,24,8,7,256698
sd[E3],DGRP229,R1,24,9,7,265807
sd[E3],DGRP229,R1,24,10,8,232915
sd[E3],DGRP229,R1,24,11,9,230038
sd[E3],DGRP229,R1,24,12,8,238258
sd[E3],DGRP229,R1,24,13,7,235472
sd[E3],DGRP229,R1,24,14,7,279487
sd[E3],DGRP229,R1,24,15,6,285076
sd[E3],DGRP229,R1,24,16,6,259209
sd[E3],DGRP229,R1,24,17,8,246461
sd[E3],DGRP229,R1,24,18,9,232946
sd[E3],DGRP229,R1,24,19,6,288086
sd[E3],DGRP229,R1,24,20,8,262046
sd[E3],DGRP239,R1,24,1,6,281462
sd[E3],DGRP239,R1,24,2,6,329674
sd[E3],DGRP239,R1,24,3,15,202157
sd[E3],DGRP239,R1,24,4,9,198312
sd[E3],DGRP239,R1,24,6,8,276884
sd[E3],DGRP315,R1,24,1,6,292869
sd[E3],DGRP315,R1,24,2,7,288360
sd[E3],DGRP315,R1,24,3,9,271271
sd[E3],DGRP315,R1,24,4,6,251835
sd[E3],DGRP315,R1,24,5,7,278473
sd[E3],DGRP315,R1,24,6,8,267466
sd[E3],DGRP315,R1,24,7,9,245676
sd[E3],DGRP319,R1,24,1,12,202015
sd[E3],DGRP319,R1,24,2,10,229089
sd[E3],DGRP319,R1,24,3,13,152261
sd[E3],DGRP319,R1,24,4,12,191298
sd[E3],DGRP319,R1,24,5,10,202990
sd[E3],DGRP319,R1,24,6,10,241513
sd[E3],DGRP319,R1,24,7,12,167760
sd[E3],DGRP371,R1,24,1,6,289269
sd[E3],DGRP371,R1,24,2,6,293912
sd[E3],DGRP371,R1,24,3,6,293983
sd[E3],DGRP371,R1,24,4,6,284557
sd[E3],DGRP371,R1,24,5,5,304372
sd[E3],DGRP371,R1,24,6,6,302702
sd[E3],DGRP371,R1,24,7,6,293422
sd[E3],DGRP371,R1,24,9,6,312070
sd[E3],DGRP371,R1,24,10,7,314176
sd[E3],DGRP371,R1,24,11,6,292337
sd[E3],DGRP371,R1,24,12,6,280738
sd[E3],DGRP371,R1,24,13,6,285009
sd[E3],DGRP371,R1,24,14,5,299170
sd[E3],DGRP371,R1,24,15,7,287608
sd[E3],DGRP371,R1,24,16,7,277062
sd[E3],DGRP371,R1,24,17,6,296546
sd[E3],DGRP371,R1,24,18,7,300980
sd[E3],DGRP385,R1,24,1,15,213616
sd[E3],DGRP385,R1,24,2,8,307221
sd[E3],DGRP385,R1,24,3,5,328737
sd[E3],DGRP385,R1,24,4,6,284029
sd[E3],DGRP385,R1,24,5,6,306242
sd[E3],DGRP385,R1,24,6,7,315650
sd[E3],DGRP385,R1,24,7,6,317567
sd[E3],DGRP385,R1,24,8,7,288821
sd[E3],DGRP385,R1,24,9,8,264167
sd[E3],DGRP385,R1,24,10,6,336157
sd[E3],DGRP385,R1,24,11,11,259864
sd[E3],DGRP385,R1,24,12,11,259765
sd[E3],DGRP385,R1,24,13,6,305073
sd[E3],DGRP385,R1,24,14,9,279032
sd[E3],DGRP385,R1,24,16,6,324616
sd[E3],DGRP385,R1,24,17,6,276609
sd[E3],DGRP385,R1,24,18,6,290256
sd[E3],DGRP385,R1,24,19,6,296916
sd[E3],DGRP385,R1,24,20,7,348341
sd[E3],DGRP385,R1,24,21,7,281350
sd[E3],DGRP391,R1,24,1,12,155617
sd[E3],DGRP391,R1,24,2,12,173143
sd[E3],DGRP391,R1,24,3,17,108552
sd[E3],DGRP391,R1,24,4,12,191814
sd[E3],DGRP391,R1,24,5,17,93694
sd[E3],DGRP391,R1,24,6,18,95855
sd[E3],DGRP391,R1,24,7,17,122056
sd[E3],DGRP391,R1,24,8,12,175500
sd[E3],DGRP391,R1,24,9,12,254430
sd[E3],DGRP391,R1,24,10,13,254658
sd[E3],DGRP391,R1,24,11,12,254886
sd[E3],DGRP391,R1,24,12,17,255114
sd[E3],DGRP391,R1,24,13,12,255342
sd[E3],DGRP443,R1,24,2,17,255799
sd[E3],DGRP443,R1,24,3,13,256027
sd[E3],DGRP443,R1,24,4,12,256255
sd[E3],DGRP443,R1,24,5,12,256483
sd[E3],DGRP443,R1,24,6,13,256711
sd[E3],DGRP443,R1,24,7,9,256939
sd[E3],DGRP443,R1,24,8,16,257167
sd[E3],DGRP443,R1,24,9,9,257395
sd[E3],DGRP443,R1,24,10,12,257623
sd[E3],DGRP443,R1,24,11,12,257851
sd[E3],DGRP492,R1,24,1,10,258079
sd[E3],DGRP492,R1,24,2,9,258307
sd[E3],DGRP492,R1,24,3,10,258536
sd[E3],DGRP492,R1,24,4,12,258764
sd[E3],DGRP492,R1,24,5,10,258992
sd[E3],DGRP492,R1,24,6,10,259220
sd[E3],DGRP492,R1,24,7,9,259448
sd[E3],DGRP492,R1,24,8,9,259676
sd[E3],DGRP492,R1,24,9,9,259904
sd[E3],DGRP492,R1,24,10,10,260132
sd[E3],DGRP492,R1,24,11,10,260360
sd[E3],DGRP492,R1,24,12,10,260588
sd[E3],DGRP492,R1,24,13,12,260816
sd[E3],DGRP492,R1,24,14,9,261045
sd[E3],DGRP492,R1,24,15,12,261273
sd[E3],DGRP492,R1,24,16,8,261501
sd[E3],DGRP492,R1,24,17,9,261729
sd[E3],DGRP492,R1,24,18,9,261957
sd[E3],DGRP492,R1,24,19,10,262185
sd[E3],DGRP492,R1,24,20,12,262413
sd[E3],DGRP517,R1,24,1,8,262641
sd[E3],DGRP517,R1,24,2,8,262869
sd[E3],DGRP517,R1,24,3,10,263097
sd[E3],DGRP517,R1,24,4,9,263325
sd[E3],DGRP517,R1,24,5,8,263553
sd[E3],DGRP517,R1,24,6,8,263782
sd[E3],DGRP517,R1,24,7,9,264010
sd[E3],DGRP517,R1,24,8,8,264238
sd[E3],DGRP517,R1,24,9,8,264466
sd[E3],DGRP517,R1,24,10,10,264694
sd[E3],DGRP517,R1,24,11,9,264922
sd[E3],DGRP517,R1,24,13,8,265150
sd[E3],DGRP517,R1,24,15,9,265378
sd[E3],DGRP517,R1,24,16,7,265606
sd[E3],DGRP517,R1,24,17,8,265834
sd[E3],DGRP517,R1,24,20,8,266062
